Name,Url,Authority,Started On,Finished On,License Number
Python para Finanças,,Udemy,Dec 2019,,
Engenheiro de Blockchain,,Udemy,Sep 2020,,
Lei Anticorrupção no  12.846/13,,CEMIG,Dec 2014,,
Workshop Altus,,Altus Sistemas de Automação,May 2015,,
Geração Distribuída,,CEMIG,May 2020,,
 C# .net,,Microgenios Microcontroladores,Mar 2012,,
Geração de Vácuo e Metalização ,,Marelli,Dec 2009,,
Desenvolvimento Ágil de Software,https://www.linkedin.com/learning/desenvolvimento-agil-de-software,LinkedIn,Feb 2021,,
Python Fundamentos para Análise de Dados,https://mycourse.app/w96MgvhxM8xBL92cA,Data Science Academy,Jun 2021,,60ce3249e32fc33f8b2e7606
Descubra o SQL,https://www.linkedin.com/learning/descubra-o-sql,LinkedIn,Sep 2021,,
